Station ID,MAE,MSE,MAE All,MSE All,Source
93110,2.455935430773361,9.819499190713428,"[2.3151339825783066, 2.4646060150088247, 2.694341615502161, 2.5719104381008004, 2.360181540569276, 2.295074520766281, 2.377875225052578, 2.4449483631221396, 2.6207016449848215, 2.694357405364059, 2.743973818262115, 2.6948900444817006, 2.400188290617847, 2.461993517766474, 2.4465507649283373, 2.508745030410419, 2.3892329907599286, 2.2416409295933843, 2.330193262609816, 2.3182294936580528, 2.4910500883146085, 2.7308241975216467, 2.516917476945251, 2.546288391288, 2.9146635113781647, 2.962023916681303, 2.974846880308545, 2.9208959537486696, 2.654188269670987, 2.730458450098983, 2.5615722427659366, 2.5137254729525726, 2.560669361726019, 2.211072234525026, 2.1669316903325435, 2.2126819053679014]","[9.592789473560954, 11.122540391310439, 12.461033051458937, 11.099597399022056, 9.215970899765228, 8.295577938118347, 8.813588477032656, 10.069374019221412, 11.18894853340877, 11.36679293678929, 11.8967674507547, 11.740452127023442, 9.899395065589193, 11.827323486433556, 11.893973012965555, 11.427883287804628, 10.195623206116645, 8.840086056611527, 8.835316150336002, 9.27444517124221, 11.242147026974585, 12.56463378666484, 10.856522075571961, 10.653943580466294, 13.918638695592774, 13.68198948723308, 14.833853304400243, 14.502662134168377, 11.505771021308245, 15.02160388125762, 12.27824718932223, 14.324233749511032, 11.169936618751915, 8.404312059664019, 7.750885831146416, 7.990471125107622]",scaled-base
93245,2.511715490160579,10.68208438862531,"[2.5131766515833736, 2.5212713427216054, 2.5473909822129106, 2.399314342018302, 2.465281311792271, 2.5696282175661054, 2.564482621928207, 2.525842831516994, 2.5862917557927494, 2.8492463159197143, 2.826034292191949, 2.6638296942674473, 3.120233499730816, 2.6606868787576214, 2.6029812736365634, 2.4778286999418535, 2.545589766975577, 2.7639505193433704, 2.615943313918951, 2.5975544372587707, 2.6222810337561686, 2.9022235736895463, 2.913854945767624, 2.681934124822836, 2.7224200900274376, 2.5681088847968407, 2.568399252175679, 2.6354502472865375, 2.655365959560598, 2.627594313730721, 2.8240817572324337, 2.80609186587443, 2.917695187430346, 2.461248006165483, 2.2459971198598834, 2.28046609026785]","[10.462845067096328, 11.426902015807459, 10.727827939714807, 10.210759953475502, 9.922511419270542, 11.16900553495365, 11.956486007545157, 10.112413259881746, 11.250157503597244, 13.306534531057652, 12.903435792029352, 13.066966997876557, 16.229929581169447, 12.576668197979439, 10.406874253854292, 10.842225226796037, 10.093726869488012, 13.374115476467848, 12.607134896986746, 11.76231903748632, 11.724043311610899, 14.565993977055832, 14.161516088080768, 12.571307196559365, 12.257979243160456, 11.310319700572569, 10.594634195200653, 11.86424694731208, 12.033176727549634, 11.596834367065888, 13.227751659486419, 12.922247935895594, 13.107125458023592, 9.977822397827925, 9.239310375312412, 8.952449601808647]",scaled-base
93439,3.6796757357044174,22.853265154700622,"[3.2850109811206307, 3.372177837564004, 3.550989535715056, 3.777054927666808, 4.00792447232735, 3.801366825620377, 3.808432541234521, 3.9631707779996943, 3.929526153700842, 3.732237387617902, 3.703148092495141, 3.819760264844059, 3.5308212623668505, 3.619376005253319, 3.7406127535819005, 3.3696599067613597, 3.524780120622297, 3.534496385640468, 3.7441215913895904, 3.618072248622802, 3.430775353162028, 3.7042997334502, 3.91776499620109, 3.816633112257507, 3.94670243246713, 3.8429067512917237, 3.8616383121899642, 4.128555303028061, 3.8048920608057633, 4.0583601992515135, 3.279317362739877, 3.3271862984426877, 4.513915325208191, 4.4819939933334645, 3.816269691941884, 3.6383161592294093]","[18.435793721873218, 18.619059790056905, 21.308964873333423, 24.002854043234606, 26.198218423615618, 24.68059076116988, 22.204550632931504, 26.074387973458478, 23.752737328720613, 22.776256179350348, 22.50790137763735, 25.02299422895151, 21.237369748783216, 22.113102135859535, 21.302425016075205, 20.644847745568146, 21.148780558314268, 21.93636192385978, 22.457356671990087, 21.851244182728795, 20.026740188795813, 22.434521945707576, 24.772683306779918, 23.595824573075767, 26.241296881015902, 24.04584042781774, 27.23345798932805, 25.772917143228472, 23.02388254073237, 26.443771557411765, 18.53152160784073, 19.19917943450629, 33.54971512088842, 31.89826228553413, 23.79555698983731, 23.545398870706208]",scaled-base
93781,2.434618055096103,10.606718068684817,"[2.992613701086779, 3.014761626903826, 2.982419636066143, 3.205208702820998, 3.296306913082416, 3.302899288397568, 3.128173365348425, 3.2101018339548366, 3.1054417349741996, 3.1271241169709434, 2.893693372286284, 3.0468965947322366, 2.8624380927208155, 3.0110388392668477, 3.1803563976287843, 3.2896770939460187, 3.179653436220608, 3.124707261232229, 3.555260765735921, 3.3582541076953603, 3.152842782093929, 2.7798263175670925, 2.8820367427972653, 3.0394845914840682, 2.898933627055242, 3.0437631621727563, 2.7950767476742078, 3.0334860900732186, 3.0571575124447175, 2.8129267923648524, 3.06272903038905, 3.208518952589768, 3.255153240790733, 3.292792566372798, 2.7856435350271362, 2.4434450497994056]","[14.075039964528923, 15.365965183054568, 15.732740050204093, 17.385556501290594, 16.249434870947134, 17.300476955677045, 15.505199394719883, 16.525750348474997, 16.735264717776506, 17.852255697939665, 14.782698292453365, 15.476168673472223, 13.272082320006989, 16.847727044870165, 15.566796401598715, 18.357567441867673, 17.205959839182604, 18.2846003657537, 21.239372785776265, 20.569157833445885, 18.680620932898247, 15.117218845418602, 14.996293403500026, 16.478289907111364, 15.214872334555459, 16.794042740927956, 14.648322641043915, 16.80748744078236, 17.96947793907967, 14.76517030703893, 17.036955095602437, 16.915428105440157, 17.032830271409438, 16.7245891547761, 12.703979189053655, 10.252784393095503]",scaled-base
93831,2.5165415217720524,10.979731603511034,"[2.8294726116966666, 2.8601236416183338, 2.8976706872459586, 2.72911367052384, 2.8547409825652617, 2.7361824719960457, 2.7449641289601785, 2.805462539469012, 2.4906648060747685, 2.5527840101081893, 2.554181959064862, 2.7767637733284745, 2.823389893815718, 2.769555716114189, 2.731257809937455, 3.088206803343678, 2.9806848391321767, 2.9222823073845783, 2.7468995374577663, 2.6243555487567236, 2.6783916990265597, 2.47207675234962, 2.428163757033021, 2.774593416485775, 2.566201560309217, 2.660969797527516, 2.6316467994952024, 2.864303608887069, 2.7189405459484077, 2.6813797754185797, 2.6222864496798914, 2.4398770103017795, 2.9041047008892966, 2.8126859675836933, 2.9042198639789603, 3.066301605719645]","[13.56317010658473, 14.01185709610531, 14.633182586426676, 13.904603359855184, 14.323126395681474, 13.220863053019803, 11.908437917357883, 12.212899802554173, 10.79688571878649, 10.306649143198594, 11.451006376916144, 14.314774426493585, 13.32155382839456, 13.733931685321291, 13.958360101478371, 16.272171615694898, 14.940304176751125, 14.098086425196547, 13.23282635910361, 11.46737350741837, 11.891718168246552, 10.515251859679763, 9.852484743671722, 13.8866735494126, 11.739124652291224, 12.521848539162129, 12.009959266141454, 14.808892286690757, 12.750833291601095, 11.95583517142949, 11.558714963568754, 9.737710365669315, 13.095785858941197, 12.166118023655644, 14.214396641406779, 15.272826529224636]",scaled-base
93110,3.5168472156601234,23.60379169078211,"[3.788325734720885, 4.004909535400739, 3.967681225565554, 3.896093629880715, 3.8263000342682103, 3.693044369457334, 3.9396990746942193, 3.873581841519772, 4.165162213886055, 4.211567947518738, 4.149917736490264, 3.8964638793741475, 3.997098342152953, 4.031299919208496, 3.9827064779878585, 4.111657778907365, 4.265706593571729, 4.199981971551444, 4.253725781877531, 4.393951064575719, 4.253631859517277, 4.180862553793055, 4.166456234546107, 4.2855466931830835, 4.460688529123787, 4.392729090916288, 4.653404445502592, 4.719934976689386, 4.217039539698733, 4.217541801510877, 4.321482867248188, 4.322914731411534, 5.169564570907414, 4.776352905317116, 4.43887313959253, 4.451746547313136]","[28.959948882014988, 33.61137899249003, 31.62825070692043, 30.488598907415195, 30.526370603778762, 28.218081157405315, 34.42816921735857, 32.72245023223905, 33.240394823456874, 34.070750100143876, 29.47370611305666, 28.53044219459341, 32.498678539761656, 30.54411649661938, 29.204148324295566, 29.91745511696524, 35.747650088724036, 34.64102620925956, 34.28979994882885, 36.49626740292393, 33.71051890727006, 31.611860238241242, 37.92570404269074, 38.47164436939579, 40.836786831687704, 40.089035315154035, 43.41396143653606, 44.921870264748534, 37.89025236203422, 40.7438443073953, 40.28761079079801, 41.73922323625828, 40.75191779362854, 35.0903134371922, 31.16398672309197, 30.85970318078923]",tfm-xreg
93245,3.2668435573000116,21.066732227858502,"[3.3981804234380943, 3.8145895126211733, 3.762263556837126, 3.568602456573312, 3.636625627888978, 3.5418913764808013, 3.533480692273788, 3.6649086111374483, 3.896296546659398, 4.00039139012344, 3.8196680995344177, 3.5538268731750597, 3.9779463287528243, 3.5894463659242812, 3.7079137081408304, 3.842872072904166, 3.775625367929008, 3.91632529251448, 3.9193897986230057, 3.8725123589275445, 3.792119523769116, 4.030016352141481, 3.7785938387305382, 3.689077416631102, 3.6292201064015153, 3.7522972867689064, 3.788792596457872, 3.599807445572228, 3.7688184323201637, 3.747397286473341, 4.032690632070294, 3.877038447729504, 5.065858648023533, 4.26017497077243, 4.079711548972675, 3.9219466598889303]","[28.196586038985377, 29.427736548977446, 29.65270203239597, 29.479799636873704, 30.679687313688166, 30.92504703111294, 29.490638797838002, 30.42354875503758, 31.150085529439544, 32.70368311016644, 30.60607233140652, 27.155602431619094, 35.50349899024324, 27.058436261026216, 28.252913376233426, 33.30142200987317, 32.18970105256676, 38.15278975744431, 33.21065253471631, 32.44150729013821, 31.24009050834702, 33.70588642933292, 29.959393037793372, 29.39727221787151, 28.144691292815104, 31.160967425206742, 31.70357651682999, 29.66775717714317, 30.28793915472153, 31.105996648414123, 34.31160444914666, 32.620461976531544, 39.56482756047248, 29.17839805438402, 27.691620145953213, 25.41897811370437]",tfm-xreg
93439,5.394676610670931,47.16762899545169,"[6.380942779065214, 6.339735771444742, 6.168866178015587, 6.0031762148292955, 5.975150104628097, 5.979426051986568, 6.245119282806684, 6.594975467993921, 6.590470011774152, 6.462182265242414, 6.563754018275216, 6.493944387632228, 6.442737195329059, 6.098037849418003, 5.99848393517223, 5.7977992129765, 5.959109227613405, 6.0509596189724135, 6.25042178475155, 6.265491014300981, 6.057226515720362, 6.270175294137335, 6.301893156586078, 6.301824578790731, 6.304897274530592, 5.982289863392177, 6.294270450002064, 6.313771401226586, 6.092923289678205, 6.236774226392205, 5.953446976836298, 6.151439631791184, 8.009844615539523, 7.977431205323818, 7.230190240454268, 6.9154469002020695]","[66.47537120011228, 64.37464751201851, 59.017684118687875, 60.157966895756395, 58.16567801884529, 55.711924914669744, 62.46136171845857, 68.73422417910318, 69.3272171021365, 64.99279990069904, 67.57977231891552, 68.39900669540413, 66.675450930745, 61.72297081543714, 59.978625306738635, 57.25306765484895, 59.955902432560535, 62.99801123451276, 68.32657628850097, 65.12004331223373, 64.14939432300505, 66.56664981921018, 68.47010710064863, 67.26604866152189, 68.88444017174827, 61.84324480428999, 68.42532884712237, 68.80071435174727, 66.93277237376776, 63.597720830908685, 62.42016178844048, 68.92388946345204, 91.86143647379514, 91.97119685763248, 75.13481697842293, 73.64684222387835]",tfm-xreg
93781,3.6689210317093295,22.206883666799158,"[3.8857436464383053, 4.070550608818349, 4.062756373698895, 4.004351957211128, 3.6139327493080726, 3.3557260480293842, 3.0896595864418246, 3.184733758094983, 3.0928922612850474, 3.1451272252889773, 3.40060929105832, 3.599100178082782, 3.770700314167217, 3.776723499298096, 3.3439478899882387, 3.5656354159575265, 3.4603004308847276, 3.5138916463118357, 3.6138624937717747, 3.6565460729599004, 3.5921194192079393, 3.4631141545222377, 3.4799858854367183, 3.6468433024333087, 3.4965777896000803, 3.79673201084137, 3.700610313415529, 3.9552746228071345, 3.7959141767942004, 3.4430107644888075, 3.5311675009360672, 3.563747256352352, 4.236064097514519, 4.180276584992042, 3.999392469479487, 3.923730769157411]","[24.141597363334572, 25.774599428281395, 27.77887855131535, 26.212469191389292, 21.51336670509503, 19.24143621118663, 16.428640190963062, 17.831977154813355, 17.24449083559184, 16.330585508958844, 18.04166367618611, 20.900045856254426, 22.498385006519314, 25.321372087869776, 22.478361573917127, 25.3027265923836, 23.754274729212792, 22.94566334522095, 23.972162118304695, 24.863705636659883, 23.747464772083916, 21.977808603337934, 21.085308945002435, 24.827998701007747, 21.515537869670567, 24.3041086966009, 25.14742064108735, 27.962426212491025, 27.753319839833015, 20.350961540282356, 22.82961683195962, 21.657925913894324, 27.294681218968293, 26.065562235971765, 23.89831073848297, 21.62403082771633]",tfm-xreg
93831,3.118398852201386,15.525277378363803,"[3.151740297652384, 3.002740926050957, 3.0006979804002603, 2.7868680599081603, 2.8568737768944903, 2.6651015623835224, 2.9178611136574766, 2.8470404992576785, 2.6476569112020614, 2.83192303599292, 2.6351677062857237, 2.919725049179019, 3.062699958568311, 3.0417447110168796, 2.89541645705245, 3.225165801921874, 3.293564273928868, 3.2189191248580706, 2.9485050472594407, 2.8704309894838413, 2.8594048523720903, 2.8510366041241717, 2.813467410320545, 3.02678488053135, 2.8638246280849735, 3.1865265675173453, 3.2233640725376027, 3.2211245693323267, 2.8376428917164125, 2.8484466847572625, 2.8580101000443667, 2.684319630287986, 3.6219898889992987, 3.5104382744272256, 3.4694981178254576, 3.5813996173043283]","[15.682819710506655, 14.526197260374008, 14.273248743265231, 13.235769153922524, 12.495515127705222, 12.273894235526846, 13.004463169131196, 13.787811869486996, 12.481966667352015, 12.518383624932264, 13.023818203387568, 16.85724517956645, 15.719400490140176, 16.21307485047269, 15.555198866703154, 18.1124539804663, 17.31182342912383, 16.75490146557318, 14.455389218574092, 13.15875891103848, 13.434263354223294, 13.068818816996243, 13.790292813096634, 15.736883234224667, 13.649015529131674, 16.1838785012417, 15.70834654672723, 17.62821155578958, 14.021473696124366, 13.451297865718372, 14.403320455302598, 11.878540708195354, 20.624326296942737, 19.170331081561834, 20.344153347591618, 20.390766251210977]",tfm-xreg
